ticker,mode,final_value,final_invested,money_mult,pl_pct,maxdd_pct,maxdd_start,maxdd_end,maxdd_duration_days,recovery_date,recovery_duration_days,sharpe_daily,n_years,buys_done,buys_skipped,forced_sells,forced_buys
SPY,baseline,27573.691,12000.000,2.298,129.781,-32.529,2020-02-19,2020-03-23,33,2020-06-03,72,1.461,9.952,120,0,0,0
SPY,skip,25380.011,12000.000,2.115,111.500,-30.254,2020-02-19,2020-03-23,33,2020-06-03,72,1.455,9.952,102,18,0,0
SPY,exit,21180.422,12000.000,1.765,76.504,-13.897,2020-02-19,2020-03-05,15,2020-07-14,131,1.435,9.952,0,0,26,27
UPRO,baseline,56436.626,12000.000,4.703,370.305,-76.485,2020-02-19,2020-03-23,33,2020-11-16,238,1.260,9.952,120,0,0,0
UPRO,skip,49545.836,12000.000,4.129,312.882,-73.056,2020-02-19,2020-03-23,33,2020-11-24,246,1.270,9.952,102,18,0,0
UPRO,exit,41342.402,12000.000,3.445,244.520,-42.840,2022-01-03,2023-03-17,438,2024-01-19,308,1.374,9.952,0,0,26,27
QQQ,baseline,36896.597,12000.000,3.075,207.472,-29.880,2022-01-03,2022-10-14,284,2023-06-01,230,1.472,9.952,120,0,0,0
QQQ,skip,33859.382,12000.000,2.822,182.162,-28.248,2022-01-03,2022-06-16,164,2023-06-01,350,1.466,9.952,102,18,0,0
QQQ,exit,28225.350,12000.000,2.352,135.211,-17.422,2020-02-19,2020-03-11,21,2020-05-29,79,1.443,9.952,0,0,22,23
QLD,baseline,71411.710,12000.000,5.951,495.098,-60.858,2021-11-19,2022-12-28,404,2024-01-19,387,1.360,9.952,120,0,0,0
QLD,skip,64452.388,12000.000,5.371,437.103,-58.666,2021-11-19,2022-12-28,404,2024-01-24,392,1.360,9.952,102,18,0,0
QLD,exit,52747.185,12000.000,4.396,339.560,-34.438,2020-02-19,2020-03-11,21,2020-06-09,90,1.411,9.952,0,0,22,23
TQQQ,baseline,103038.904,12000.000,8.587,758.658,-80.359,2021-11-19,2022-12-28,404,2024-06-17,537,1.257,9.952,120,0,0,0
TQQQ,skip,91931.376,12000.000,7.661,666.095,-78.549,2021-11-19,2022-12-28,404,2024-06-18,538,1.256,9.952,102,18,0,0
TQQQ,exit,90726.617,12000.000,7.561,656.055,-48.536,2020-02-19,2020-03-11,21,2020-07-01,112,1.352,9.952,0,0,22,23
