month,date,invested_cumulative,SPY_value,SPY_pl_pct,UPRO_value,UPRO_pl_pct,QQQ_value,QQQ_pl_pct,QLD_value,QLD_pl_pct,TQQQ_value,TQQQ_pl_pct
2022-01,2022-01-03,100.00,100.00,0.00,100.00,0.00,100.00,-0.00,100.00,0.00,100.00,0.00
2022-02,2022-02-01,200.00,194.82,-2.59,184.48,-7.76,191.00,-4.50,182.08,-8.96,173.64,-13.18
2022-03,2022-03-01,300.00,284.94,-5.02,255.53,-14.82,278.44,-7.19,257.40,-14.20,237.90,-20.70
2022-04,2022-04-01,400.00,401.07,0.27,396.37,-0.91,395.41,-1.15,386.91,-3.27,375.41,-6.15
2022-05,2022-05-02,500.00,467.03,-6.59,398.70,-20.26,448.01,-10.40,396.03,-20.79,347.87,-30.43
2022-06,2022-06-01,600.00,561.52,-6.41,474.43,-20.93,530.46,-11.59,459.59,-23.40,393.58,-34.40
2022-07,2022-07-01,700.00,624.91,-10.73,476.09,-31.99,590.02,-15.71,486.14,-30.55,397.38,-43.23
2022-08,2022-08-01,800.00,773.32,-3.34,687.99,-14.00,759.33,-5.08,702.14,-12.23,642.71,-19.66
2022-09,2022-09-01,900.00,846.30,-5.97,707.57,-21.38,821.10,-8.77,727.01,-19.22,637.17,-29.20
2022-10,2022-10-03,1000.00,885.88,-11.41,653.10,-34.69,851.50,-14.85,701.50,-29.85,572.84,-42.72
2022-11,2022-11-01,1100.00,1029.16,-6.44,835.14,-24.08,956.42,-13.05,799.68,-27.30,662.86,-39.74
2022-12,2022-12-01,1200.00,1190.34,-0.81,1066.58,-11.12,1121.12,-6.57,997.63,-16.86,873.55,-27.20
2023-01,2023-01-03,1300.00,1217.84,-6.32,967.30,-25.59,1111.93,-14.47,904.31,-30.44,726.78,-44.09
2023-02,2023-02-01,1400.00,1413.72,0.98,1293.73,-7.59,1365.13,-2.49,1259.77,-10.02,1148.27,-17.98
2023-03,2023-03-01,1500.00,1458.45,-2.77,1231.97,-17.87,1421.03,-5.26,1267.37,-15.51,1116.44,-25.57
2023-04,2023-04-03,1600.00,1624.13,1.51,1478.03,-7.62,1664.73,4.05,1622.32,1.40,1559.47,-2.53
2023-05,2023-05-01,1700.00,1742.16,2.48,1610.27,-5.28,1775.33,4.43,1731.86,1.87,1665.59,-2.02
2023-06,2023-06-01,1800.00,1868.61,3.81,1758.39,-2.31,2039.65,13.31,2150.59,19.48,2229.14,23.84
2023-07,2023-07-03,1900.00,2073.24,9.12,2146.99,13.00,2248.51,18.34,2468.43,29.92,2663.45,40.18
2023-08,2023-08-01,2000.00,2232.52,11.63,2406.70,20.33,2424.42,21.22,2719.15,35.96,3000.89,50.04
2023-09,2023-09-01,2100.00,2306.65,9.84,2386.20,13.63,2491.48,18.64,2722.09,29.62,2922.68,39.18
2023-10,2023-10-02,2200.00,2292.27,4.19,2123.14,-3.49,2487.18,13.05,2586.76,17.58,2629.33,19.52
2023-11,2023-11-01,2300.00,2367.33,2.93,2119.90,-7.83,2557.58,11.20,2604.40,13.23,2585.14,12.40
2023-12,2023-12-01,2400.00,2671.43,11.31,2776.28,15.68,2893.87,20.58,3183.08,32.63,3417.86,42.41
2024-01,2024-01-02,2500.00,2861.43,14.46,3127.31,25.09,3095.29,23.81,3485.98,39.44,3834.72,53.39
2024-02,2024-02-01,2600.00,3061.62,17.75,3519.38,35.36,3343.61,28.60,3900.21,50.01,4442.24,70.86
2024-03,2024-03-01,2700.00,3309.63,22.58,4098.45,51.79,3631.68,34.51,4416.74,63.58,5245.66,94.28
2024-04,2024-04-01,2800.00,3480.18,24.29,4416.18,57.72,3731.09,33.25,4483.66,60.13,5265.35,88.05
2024-05,2024-05-01,2900.00,3434.82,18.44,3919.09,35.14,3634.62,25.33,4086.78,40.92,4486.38,54.70
2024-06,2024-06-03,3000.00,3723.26,24.11,4641.50,54.72,4007.19,33.57,4790.26,59.68,5589.73,86.32
2024-07,2024-07-01,3100.00,3959.40,27.72,5214.17,68.20,4368.56,40.92,5501.63,77.47,6767.74,118.31
2024-08,2024-08-01,3200.00,4042.49,26.33,5161.01,61.28,4266.77,33.34,5049.45,57.80,5815.10,81.72
2024-09,2024-09-03,3300.00,4210.01,27.58,5407.57,63.87,4386.73,32.93,5134.45,55.59,5822.41,76.44
2024-10,2024-10-01,3400.00,4449.44,30.87,5989.61,76.17,4678.01,37.59,5646.93,66.09,6603.50,94.22
2024-11,2024-11-01,3500.00,4568.37,30.52,6079.61,73.70,4837.88,38.23,5850.81,67.17,6847.13,95.63
2024-12,2024-12-02,3600.00,4929.10,36.92,7194.08,99.84,5214.40,44.84,6591.96,83.11,8062.10,123.95
2025-01,2025-01-02,3700.00,4890.10,32.16,6595.88,78.27,5271.52,42.47,6527.95,76.43,7811.32,111.12
2025-02,2025-02-03,3800.00,5099.92,34.21,7049.31,85.51,5452.94,43.50,6777.58,78.36,8118.94,113.66
2025-03,2025-03-03,3900.00,5080.48,30.27,6589.08,68.95,5331.29,36.70,6297.16,61.47,7148.75,83.30
2025-04,2025-04-01,4000.00,4996.74,24.92,5880.89,47.02,5177.67,29.44,5741.38,43.53,6097.38,52.43
2025-05,2025-05-01,4100.00,5074.47,23.77,5531.67,34.92,5376.03,31.12,5871.91,43.22,6004.95,46.46
2025-06,2025-06-02,4200.00,5485.59,30.61,6604.44,57.25,5939.55,41.42,6980.64,66.21,7674.68,82.73
2025-07,2025-07-01,4300.00,5833.31,35.66,7556.96,75.74,6316.48,46.89,7700.80,79.09,8793.51,104.50
2025-08,2025-08-01,4400.00,5971.75,35.72,7719.89,75.45,6496.04,47.64,7947.94,80.64,9114.19,107.14
2025-09,2025-09-02,4500.00,6249.92,38.89,8437.35,87.50,6733.73,49.64,8337.22,85.27,9671.44,114.92
2025-10,2025-10-01,4600.00,6643.09,44.42,9686.94,110.59,7290.04,58.48,9556.60,107.75,11757.29,155.59
2025-11,2025-11-03,4700.00,6891.07,46.62,10300.94,119.17,7738.44,64.65,10505.19,123.51,13366.48,184.39
2025-12,2025-12-01,4800.00,6960.11,45.00,10124.06,110.92,7655.90,59.50,10039.60,109.16,12311.93,156.50
2026-01,2026-01-02,4900.00,7110.43,45.11,10326.79,110.75,7715.46,57.46,9966.85,103.41,12043.37,145.78
2026-02,2026-02-02,5000.00,7337.83,46.76,10879.53,117.59,7979.31,59.59,10440.78,108.82,12776.02,155.52
2026-03,2026-03-02,5100.00,7342.55,43.97,10432.10,104.55,7849.28,53.91,9880.43,93.73,11623.92,127.92
2026-04,2026-04-01,5200.00,7128.57,37.09,9091.26,74.83,7651.84,47.15,9164.38,76.24,10227.42,96.68
2026-05,2026-05-01,5300.00,7940.19,49.81,12045.06,127.27,8928.34,68.46,12213.58,130.44,15548.78,193.37
