ticker,mode,final_value,final_invested,money_mult,pl_pct,maxdd_pct,maxdd_start,maxdd_end,sharpe_daily,min_pl_pct,dd_months
SPY,baseline,8144.240,5300.000,1.537,53.665,-15.431,2025-02-19,2025-04-08,1.754,-16.224,0
SPY,dd_pl,10278.734,6400.000,1.606,60.605,-16.263,2025-02-19,2025-04-08,1.230,-15.263,11
SPY,dd_filt_pl,8702.705,5600.000,1.554,55.405,-15.698,2025-02-19,2025-04-08,1.216,-16.592,3
SPY,dd_ath,11510.747,7100.000,1.621,62.123,-16.577,2025-02-19,2025-04-08,1.800,-16.224,18
UPRO,baseline,12916.780,5300.000,2.437,143.713,-47.183,2025-02-19,2025-04-08,1.582,-44.205,0
UPRO,dd_pl,19383.509,7100.000,2.730,173.007,-47.816,2025-02-19,2025-04-08,1.252,-42.165,18
UPRO,dd_filt_pl,16294.162,6300.000,2.586,158.637,-47.586,2025-02-19,2025-04-08,1.232,-45.808,10
UPRO,dd_ath,23186.555,8800.000,2.635,163.484,-47.490,2025-02-19,2025-04-08,1.282,-42.883,35
QQQ,baseline,9388.960,5300.000,1.772,77.150,-19.742,2025-02-19,2025-04-08,1.728,-21.590,0
QQQ,dd_pl,12533.150,6600.000,1.899,89.896,-20.635,2025-02-19,2025-04-08,1.237,-20.172,13
QQQ,dd_filt_pl,10076.405,5600.000,1.799,79.936,-19.996,2025-02-19,2025-04-08,1.213,-22.171,3
QQQ,dd_ath,14418.918,7600.000,1.897,89.723,-20.914,2025-02-19,2025-04-08,1.717,-20.070,23
QLD,baseline,13460.076,5300.000,2.540,153.964,-39.786,2025-02-19,2025-04-08,1.610,-40.292,0
QLD,dd_pl,18926.275,6700.000,2.825,182.482,-40.438,2025-02-19,2025-04-08,1.236,-38.758,14
QLD,dd_filt_pl,14568.814,5600.000,2.602,160.157,-39.965,2025-02-19,2025-04-08,1.204,-41.368,3
QLD,dd_ath,24268.262,8900.000,2.727,172.677,-40.163,2025-02-19,2025-04-08,1.278,-38.758,36
TQQQ,baseline,17939.434,5300.000,3.385,238.480,-55.628,2024-12-16,2025-04-08,1.516,-55.578,0
TQQQ,dd_pl,26980.808,6900.000,3.910,291.026,-56.538,2024-12-16,2025-04-08,1.235,-53.862,16
TQQQ,dd_filt_pl,20670.191,5800.000,3.564,256.383,-56.001,2024-12-16,2025-04-08,1.203,-56.968,5
TQQQ,dd_ath,34751.370,9900.000,3.510,251.024,-56.153,2024-12-16,2025-04-08,1.271,-53.862,46
