ticker,mode,final_value,final_invested,money_mult,pl_pct,maxdd_pct,maxdd_start,maxdd_end,maxdd_duration_days,sharpe_daily,min_pl_pct,dd_months,suppressed_by_filter
SPY,baseline,8144.240,5300.000,1.537,53.665,-15.431,2025-02-19,2025-04-08,48,1.754,-16.224,0,9
SPY,dd,10278.734,6400.000,1.606,60.605,-16.263,2025-02-19,2025-04-08,48,1.230,-15.263,11,0
SPY,dd_filt,8702.705,5600.000,1.554,55.405,-15.698,2025-02-19,2025-04-08,48,1.216,-16.592,3,9
UPRO,baseline,12916.780,5300.000,2.437,143.713,-47.183,2025-02-19,2025-04-08,48,1.582,-44.205,0,9
UPRO,dd,19383.509,7100.000,2.730,173.007,-47.816,2025-02-19,2025-04-08,48,1.252,-42.165,18,0
UPRO,dd_filt,16294.162,6300.000,2.586,158.637,-47.586,2025-02-19,2025-04-08,48,1.232,-45.808,10,9
QQQ,baseline,9388.960,5300.000,1.772,77.150,-19.742,2025-02-19,2025-04-08,48,1.728,-21.590,0,11
QQQ,dd,12533.150,6600.000,1.899,89.896,-20.635,2025-02-19,2025-04-08,48,1.237,-20.172,13,0
QQQ,dd_filt,10076.405,5600.000,1.799,79.936,-19.996,2025-02-19,2025-04-08,48,1.213,-22.171,3,11
QLD,baseline,13460.076,5300.000,2.540,153.964,-39.786,2025-02-19,2025-04-08,48,1.610,-40.292,0,11
QLD,dd,18926.275,6700.000,2.825,182.482,-40.438,2025-02-19,2025-04-08,48,1.236,-38.758,14,0
QLD,dd_filt,14568.814,5600.000,2.602,160.157,-39.965,2025-02-19,2025-04-08,48,1.204,-41.368,3,11
TQQQ,baseline,17939.434,5300.000,3.385,238.480,-55.628,2024-12-16,2025-04-08,113,1.516,-55.578,0,11
TQQQ,dd,26980.808,6900.000,3.910,291.026,-56.538,2024-12-16,2025-04-08,113,1.235,-53.862,16,0
TQQQ,dd_filt,20670.191,5800.000,3.564,256.383,-56.001,2024-12-16,2025-04-08,113,1.203,-56.968,5,11
