strategy,symbol,timeframe,sharpe,cagr,max_drawdown,win_rate,profit_factor,trade_count,total_return,gate1_pass,halted,halt_reason
ema_crossover,BTC/USDT,4h,-0.021,-0.0004,0.049,0.3152,0.93,92,-0.004,False,False,
donchian_bo,BTC/USDT,4h,-0.6923,-0.0045,0.055,0.2788,0.59,165,-0.0469,False,False,
macd_momentum,BTC/USDT,4h,-0.38,-0.0274,0.0339,0.2,0.34,5,-0.0096,False,True,Daily loss 2.52% exceeds limit 2.00%
atr_breakout,BTC/USDT,4h,0.2472,0.0132,0.1227,0.2658,1.18,79,0.0481,False,True,Daily loss 2.30% exceeds limit 2.00%
momentum_long,BTC/USDT,4h,0.3464,0.0157,0.106,0.3636,1.73,11,0.0572,False,True,Daily loss 2.32% exceeds limit 2.00%
alpha_composite,BTC/USDT,4h,-0.1303,-0.0087,0.1142,0.4348,0.97,230,-0.0361,False,True,Daily loss 3.31% exceeds limit 2.00%
alpha_trend_v2,BTC/USDT,4h,-0.5497,-0.0253,0.2009,0.3941,0.78,510,-0.1932,False,True,Drawdown 20.09% exceeds circuit breaker 20.00%
alpha_momentum_v2,BTC/USDT,4h,-3.013,-0.3126,0.0371,0.5,0.09,2,-0.0325,False,True,Daily loss 3.57% exceeds limit 2.00%
ema_crossover,ETH/USDT,4h,-0.3418,-0.0065,0.0924,0.2056,0.77,107,-0.0672,False,False,
donchian_bo,ETH/USDT,4h,0.294,0.0062,0.042,0.3782,0.92,156,0.0688,False,False,
macd_momentum,ETH/USDT,4h,0.8318,0.08,0.027,0.4,0.91,10,0.0529,False,True,Daily loss 2.59% exceeds limit 2.00%
atr_breakout,ETH/USDT,4h,-0.2481,-0.0185,0.0928,0.2449,0.83,49,-0.0336,False,True,Daily loss 2.02% exceeds limit 2.00%
momentum_long,ETH/USDT,4h,-0.9753,-0.0387,0.1014,0.2,0.03,5,-0.0796,False,True,Daily loss 2.38% exceeds limit 2.00%
alpha_composite,ETH/USDT,4h,-0.8235,-0.0521,0.1602,0.3701,0.67,127,-0.1062,False,True,Daily loss 2.49% exceeds limit 2.00%
alpha_trend_v2,ETH/USDT,4h,-0.7896,-0.0492,0.1559,0.3828,0.68,128,-0.1006,False,True,Daily loss 2.49% exceeds limit 2.00%
alpha_momentum_v2,ETH/USDT,4h,-3.436,-0.5472,0.0674,0.0,0.0,2,-0.0674,False,True,Daily loss 6.62% exceeds limit 2.00%
