rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
0,cci_trend,NVDA,1d,1.2355,1.0206,0.3314,0.2082,0.5,3.7941,1.9519,16,0.3595,0.0876,0.6836,-0.1278,954,False,True,False,1.2355
0,cci_trend,AAPL,1d,0.8058,0.5317,0.0921,0.144,0.5909,2.6777,0.5507,22,0.3893,0.0254,0.261,-0.0735,1256,False,False,False,0.8058
0,cci_trend,SPY,1d,0.5671,0.2986,0.0293,0.0781,0.5,2.0614,0.1544,16,0.289,0.0096,0.0724,-0.0394,1256,False,False,False,0.5671
0,cci_trend,MSFT,1d,0.4779,0.2701,0.044,0.2022,0.6471,2.5254,0.218,17,0.2941,0.0189,0.1203,-0.0613,1156,False,True,False,0.4779
0,squeeze_momentum,NVDA,1d,0.4367,0.1952,0.0276,0.0651,0.25,4.2182,0.1452,4,0.0613,0.0813,0.4263,-0.0502,1256,False,False,False,0.4367
0,stoch_rsi,MSFT,1d,0.2684,0.1363,0.0139,0.0689,0.5439,1.3966,0.0711,57,0.2715,0.0048,0.0756,-0.0904,1256,False,False,False,0.2684
0,stoch_rsi,NVDA,1d,0.2545,0.1447,0.0208,0.1781,0.5862,1.1389,0.1082,58,0.2991,0.0035,0.1549,-0.162,1257,False,False,False,0.2545
0,squeeze_momentum,AAPL,1d,0.1415,0.0465,0.0042,0.0811,0.2857,1.3136,0.0211,7,0.1011,0.0073,0.1223,-0.0603,1256,False,False,False,0.1415
0,stoch_rsi,AAPL,1d,0.091,0.0471,0.0035,0.1616,0.4921,1.0712,0.0178,63,0.2673,0.001,0.0736,-0.1192,1257,False,False,False,0.091
0,squeeze_momentum,SPY,1d,0.0106,0.0026,0.0,0.0379,0.25,1.029,0.0002,4,0.0502,0.0003,0.0424,-0.0189,1256,False,False,False,0.0106
0,williams_r,SPY,1d,-0.1093,-0.0355,-0.0065,0.118,0.72,0.7774,-0.0318,25,0.1274,-0.0019,0.0213,-0.0656,1256,False,False,False,-0.1093
0,williams_r,MSFT,1d,-0.1516,-0.0449,-0.01,0.1004,0.6111,0.8099,-0.0489,18,0.1123,-0.0025,0.0345,-0.1016,1256,False,False,False,-0.1516
0,williams_r,NVDA,1d,-0.196,-0.0713,-0.0433,0.2086,0.5455,0.5908,-0.1376,11,0.1339,-0.0152,0.078,-0.206,844,False,True,False,-0.196
0,squeeze_momentum,MSFT,1d,-0.2433,-0.0798,-0.0077,0.0546,0.3,0.5785,-0.0377,10,0.1123,-0.0077,0.0522,-0.0532,1256,False,False,False,-0.2433
0,stoch_rsi,SPY,1d,-0.264,-0.1217,-0.0095,0.1287,0.5556,0.7649,-0.0466,54,0.2721,-0.0029,0.0423,-0.0768,1257,False,False,False,-0.264
0,williams_r,AAPL,1d,-0.6849,-0.2276,-0.0648,0.2023,0.3333,0.4877,-0.1223,9,0.0955,-0.0167,0.0913,-0.089,492,False,True,False,-0.6849
